Step size 1,Step size 2,Accuracy,Sensitivity,Specificity,F_score,Weights
0.01,0.01,72.0164609053,0.607142857143,0.779874213836,0.692405063291,"[ 0.01385714  0.05002381 -0.03047619  0.29735714  0.39652381  0.22735714
  0.04535714]"
0.01,0.02,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-0.23280952 -0.16164286 -0.07880952  0.43569048  0.76819048  0.47069048
 -0.20130952]"
0.01,0.03,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-0.47947619 -0.37330952 -0.12714286  0.57402381  1.13985714  0.71402381
 -0.44797619]"
0.01,0.04,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-0.72614286 -0.58497619 -0.17547619  0.71235714  1.51152381  0.95735714
 -0.69464286]"
0.01,0.05,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-0.97280952 -0.79664286 -0.22380952  0.85069048  1.88319048  1.20069048
 -0.94130952]"
0.01,0.06,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-1.21947619 -1.00830952 -0.27214286  0.98902381  2.25485714  1.44402381
 -1.18797619]"
0.01,0.07,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-1.46614286 -1.21997619 -0.32047619  1.12735714  2.62652381  1.68735714
 -1.43464286]"
0.01,0.08,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-1.71280952 -1.43164286 -0.36880952  1.26569048  2.99819048  1.93069048
 -1.68130952]"
0.01,0.09,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-1.95947619 -1.64330952 -0.41714286  1.40402381  3.36985714  2.17402381
 -1.92797619]"
0.01,0.1,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-2.20614286 -1.85497619 -0.46547619  1.54235714  3.74152381  2.41735714
 -2.17464286]"
0.01,0.11,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-2.45280952 -2.06664286 -0.51380952  1.68069048  4.11319048  2.66069048
 -2.42130952]"
0.01,0.12,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-2.69947619 -2.27830952 -0.56214286  1.81902381  4.48485714  2.90402381
 -2.66797619]"
0.01,0.13,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-2.94614286 -2.48997619 -0.61047619  1.95735714  4.85652381  3.14735714
 -2.91464286]"
0.01,0.14,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-3.19280952 -2.70164286 -0.65880952  2.09569048  5.22819048  3.39069048
 -3.16130952]"
0.01,0.15,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-3.43947619 -2.91330952 -0.70714286  2.23402381  5.59985714  3.63402381
 -3.40797619]"
0.01,0.16,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-3.68614286 -3.12497619 -0.75547619  2.37235714  5.97152381  3.87735714
 -3.65464286]"
0.01,0.17,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-3.93280952 -3.33664286 -0.80380952  2.51069048  6.34319048  4.12069048
 -3.90130952]"
0.01,0.18,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-4.17947619 -3.54830952 -0.85214286  2.64902381  6.71485714  4.36402381
 -4.14797619]"
0.01,0.19,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-4.42614286 -3.75997619 -0.90047619  2.78735714  7.08652381  4.60735714
 -4.39464286]"
0.01,0.2,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-4.67280952 -3.97164286 -0.94880952  2.92569048  7.45819048  4.85069048
 -4.64130952]"
0.01,0.21,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-4.91947619 -4.18330952 -0.99714286  3.06402381  7.82985714  5.09402381
 -4.88797619]"
0.01,0.22,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-5.16614286 -4.39497619 -1.04547619  3.20235714  8.20152381  5.33735714
 -5.13464286]"
0.01,0.23,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-5.41280952 -4.60664286 -1.09380952  3.34069048  8.57319048  5.58069048
 -5.38130952]"
0.01,0.24,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-5.65947619 -4.81830952 -1.14214286  3.47902381  8.94485714  5.82402381
 -5.62797619]"
0.01,0.25,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-5.90614286 -5.02997619 -1.19047619  3.61735714  9.31652381  6.06735714
 -5.87464286]"
0.01,0.26,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-6.15280952 -5.24164286 -1.23880952  3.75569048  9.68819048  6.31069048
 -6.12130952]"
0.01,0.27,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -6.39947619  -5.45330952  -1.28714286   3.89402381  10.05985714
   6.55402381  -6.36797619]"
0.01,0.28,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -6.64614286  -5.66497619  -1.33547619   4.03235714  10.43152381
   6.79735714  -6.61464286]"
0.01,0.29,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -6.89280952  -5.87664286  -1.38380952   4.17069048  10.80319048
   7.04069048  -6.86130952]"
0.01,0.3,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -7.13947619  -6.08830952  -1.43214286   4.30902381  11.17485714
   7.28402381  -7.10797619]"
0.01,0.31,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -7.38614286  -6.29997619  -1.48047619   4.44735714  11.54652381
   7.52735714  -7.35464286]"
0.01,0.32,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -7.63280952  -6.51164286  -1.52880952   4.58569048  11.91819048
   7.77069048  -7.60130952]"
0.01,0.33,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -7.87947619  -6.72330952  -1.57714286   4.72402381  12.28985714
   8.01402381  -7.84797619]"
0.01,0.34,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -8.12614286  -6.93497619  -1.62547619   4.86235714  12.66152381
   8.25735714  -8.09464286]"
0.01,0.35,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -8.37280952  -7.14664286  -1.67380952   5.00069048  13.03319048
   8.50069048  -8.34130952]"
0.01,0.36,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -8.61947619  -7.35830952  -1.72214286   5.13902381  13.40485714
   8.74402381  -8.58797619]"
0.01,0.37,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -8.86614286  -7.56997619  -1.77047619   5.27735714  13.77652381
   8.98735714  -8.83464286]"
0.01,0.38,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -9.11280952  -7.78164286  -1.81880952   5.41569048  14.14819048
   9.23069048  -9.08130952]"
0.01,0.39,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -9.35947619  -7.99330952  -1.86714286   5.55402381  14.51985714
   9.47402381  -9.32797619]"
0.01,0.4,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -9.60614286  -8.20497619  -1.91547619   5.69235714  14.89152381
   9.71735714  -9.57464286]"
0.01,0.41,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[ -9.85280952  -8.41664286  -1.96380952   5.83069048  15.26319048
   9.96069048  -9.82130952]"
0.01,0.42,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-10.09947619  -8.62830952  -2.01214286   5.96902381  15.63485714
  10.20402381 -10.06797619]"
0.01,0.43,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-10.34614286  -8.83997619  -2.06047619   6.10735714  16.00652381
  10.44735714 -10.31464286]"
0.01,0.44,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-10.59280952  -9.05164286  -2.10880952   6.24569048  16.37819048
  10.69069048 -10.56130952]"
0.01,0.45,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-10.83947619  -9.26330952  -2.15714286   6.38402381  16.74985714
  10.93402381 -10.80797619]"
0.01,0.46,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-11.08614286  -9.47497619  -2.20547619   6.52235714  17.12152381
  11.17735714 -11.05464286]"
0.01,0.47,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-11.33280952  -9.68664286  -2.25380952   6.66069048  17.49319048
  11.42069048 -11.30130952]"
0.01,0.48,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-11.57947619  -9.89830952  -2.30214286   6.79902381  17.86485714
  11.66402381 -11.54797619]"
0.01,0.49,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-11.82614286 -10.10997619  -2.35047619   6.93735714  18.23652381
  11.90735714 -11.79464286]"
0.01,0.5,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-12.07280952 -10.32164286  -2.39880952   7.07569048  18.60819048
  12.15069048 -12.04130952]"
0.01,0.51,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-12.31947619 -10.53330952  -2.44714286   7.21402381  18.97985714
  12.39402381 -12.28797619]"
0.01,0.52,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-12.56614286 -10.74497619  -2.49547619   7.35235714  19.35152381
  12.63735714 -12.53464286]"
0.01,0.53,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-12.81280952 -10.95664286  -2.54380952   7.49069048  19.72319048
  12.88069048 -12.78130952]"
0.01,0.54,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-13.05947619 -11.16830952  -2.59214286   7.62902381  20.09485714
  13.12402381 -13.02797619]"
0.01,0.55,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-13.30614286 -11.37997619  -2.64047619   7.76735714  20.46652381
  13.36735714 -13.27464286]"
0.01,0.56,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-13.55280952 -11.59164286  -2.68880952   7.90569048  20.83819048
  13.61069048 -13.52130952]"
0.01,0.57,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-13.79947619 -11.80330952  -2.73714286   8.04402381  21.20985714
  13.85402381 -13.76797619]"
0.01,0.58,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-14.04614286 -12.01497619  -2.78547619   8.18235714  21.58152381
  14.09735714 -14.01464286]"
0.01,0.59,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-14.29280952 -12.22664286  -2.83380952   8.32069048  21.95319048
  14.34069048 -14.26130952]"
0.01,0.6,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-14.53947619 -12.43830952  -2.88214286   8.45902381  22.32485714
  14.58402381 -14.50797619]"
0.01,0.61,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-14.78614286 -12.64997619  -2.93047619   8.59735714  22.69652381
  14.82735714 -14.75464286]"
0.01,0.62,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-15.03280952 -12.86164286  -2.97880952   8.73569048  23.06819048
  15.07069048 -15.00130952]"
0.01,0.63,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-15.27947619 -13.07330952  -3.02714286   8.87402381  23.43985714
  15.31402381 -15.24797619]"
0.01,0.64,70.3703703704,0.619047619048,0.748427672956,0.679325513196,"[-15.52614286 -13.28497619  -3.07547619   9.01235714  23.81152381
  15.55735714 -15.49464286]"
